#,Linux,macOS,Windows
1,0.4396,0.531,0.4588
2,0.5452,0.412,0.5022
3,0.466,0.4976,0.3704
4,0.4988,0.4688,0.4538
5,0.5576,0.483,0.5356
6,0.4442,0.5076,0.5084
7,0.5126,0.4924,0.4686
8,0.4952,0.499,0.4896
9,0.4758,0.5512,0.544
10,0.5626,0.473,0.4944
11,0.5134,0.4198,0.5508
12,0.4872,0.4116,0.522
13,0.5288,0.5002,0.4806
14,0.5584,0.4696,0.4906
15,0.5558,0.4588,0.4868
16,0.563,0.4734,0.513
17,0.4696,0.5098,0.4404
18,0.4838,0.4074,0.4996
19,0.5128,0.4952,0.4816
20,0.4168,0.464,0.4454
21,0.5316,0.5392,0.4368
22,0.4788,0.4814,0.5124
23,0.4702,0.4744,0.5036
24,0.4374,0.486,0.5546
25,0.5558,0.5366,0.4576
26,0.4906,0.4852,0.4476
27,0.4512,0.4412,0.4956
28,0.502,0.5334,0.5716
29,0.5438,0.4138,0.5036
30,0.4806,0.4232,0.5122
31,0.5386,0.5068,0.5328
32,0.5174,0.471,0.5346
33,0.4446,0.492,0.5198
