#,Linux,macOS,Windows
1,0.4964,0.4614,0.5516
2,0.5178,0.4418,0.519
3,0.4642,0.491,0.5344
4,0.492,0.5574,0.5068
5,0.5282,0.4524,0.4836
6,0.523,0.5214,0.4852
7,0.4712,0.536,0.5424
8,0.487,0.4432,0.5064
9,0.447,0.457,0.4442
10,0.5794,0.5828,0.4762
11,0.5084,0.4378,0.5136
12,0.4394,0.5624,0.5354
13,0.5552,0.4922,0.5064
14,0.4826,0.4832,0.5764
15,0.4978,0.4688,0.471
16,0.4684,0.4074,0.3514
17,0.3326,0.317,0.3794
18,0.2,0.2,0.1962
19,0.5014,0.4882,0.3892
20,0.568,0.6084,0.4982
21,0.4652,0.4948,0.4438
22,0.4814,0.5496,0.5408
23,0.5102,0.4232,0.4292
24,0.4858,0.4576,0.5424
25,0.5084,0.5506,0.5122
26,0.643,0.569,0.6286
27,0.4924,0.4534,0.513
28,0.5284,0.517,0.4938
29,0.5222,0.5546,0.4702
30,0.5458,0.5066,0.592
31,0.5416,0.4338,0.5276
32,0.4966,0.461,0.4686
33,0.5028,0.4818,0.5428
34,0.4542,0.47,0.547
35,0.4852,0.4884,0.5374
36,0.4634,0.5036,0.4696
37,0.4938,0.4322,0.531
38,0.5542,0.5556,0.5092
39,0.526,0.5418,0.5434
40,0.539,0.5708,0.4752
41,0.4504,0.4778,0.4414
42,0.4666,0.4798,0.5458
43,0.4918,0.49,0.4336
44,0.4888,0.4026,0.5084
45,0.5234,0.5166,0.44
46,0.515,0.5738,0.5574
47,0.38,0.4214,0.4032
48,0.5282,0.5112,0.5318
49,0.5748,0.4618,0.4716
50,0.4598,0.4604,0.4598
51,0.4798,0.437,0.4888
52,0.528,0.5446,0.4864
53,0.4836,0.4862,0.59
54,0.5058,0.4586,0.5184
55,0.5888,0.5152,0.4284
56,0.4764,0.4908,0.4686
57,0.4754,0.5196,0.5314
58,0.476,0.4622,0.5144
59,0.5304,0.4988,0.525
60,0.5058,0.4394,0.544
61,0.4774,0.4502,0.488
62,0.462,0.5006,0.471
63,0.4896,0.4948,0.4486
64,0.5548,0.4816,0.4842
65,0.4138,0.405,0.5224
66,0.5472,0.4912,0.4766
67,0.4396,0.531,0.4588
68,0.5452,0.412,0.5022
69,0.466,0.4976,0.3704
70,0.4988,0.4688,0.4538
71,0.5576,0.483,0.5356
72,0.4442,0.5076,0.5084
73,0.5126,0.4924,0.4686
74,0.4952,0.499,0.4896
75,0.4758,0.5512,0.544
76,0.5626,0.473,0.4944
77,0.5134,0.4198,0.5508
78,0.4872,0.4116,0.522
79,0.5288,0.5002,0.4806
80,0.5584,0.4696,0.4906
81,0.5558,0.4588,0.4868
82,0.563,0.4734,0.513
83,0.4696,0.5098,0.4404
84,0.4838,0.4074,0.4996
85,0.5128,0.4952,0.4816
86,0.4168,0.464,0.4454
87,0.5316,0.5392,0.4368
88,0.4788,0.4814,0.5124
89,0.4702,0.4744,0.5036
90,0.4374,0.486,0.5546
91,0.5558,0.5366,0.4576
92,0.4906,0.4852,0.4476
93,0.4512,0.4412,0.4956
94,0.502,0.5334,0.5716
95,0.5438,0.4138,0.5036
96,0.4806,0.4232,0.5122
97,0.5386,0.5068,0.5328
98,0.5174,0.471,0.5346
99,0.4446,0.492,0.5198
